Fragment,Group,Longitude,Latitude
Santa Maria Farm,1,"-52,296886","-22,236353"
Santa Maria Farm,2,"-52,308","-22,231806"
Morro do Diabo State Park,PEMD Sede,,
Guarei fragments,Guareí (Camargo),,
BLT Ecological Station,Ponte Branca,"-52,508509","-22,425176"
Guareí Riparian Forest,Guareí 02 (Camargo),,
Guareí Riparian Forest,Guareí 01 (Camargo),,
Capão Bonito National Forest,1,"-48,532665","-23,88868"
Capão Bonito National Forest,2,"-48,532665","-23,901291"
Riparian forest of Guarei River,Guareí - bridge,"-48,208116","-23,376237"
